epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79907,1.17202,2.88116,1.336,0.00342,1,0.50058,0.43662,0.53687,2.83338,0.90552,0.000464425,0.000464425,0.000464425
2,6.27314,0.85907,2.1839,1.14015,0.48649,0.78333,0.66421,0.57759,0.55436,1.67524,0.91163,0.000931445,0.000931445,0.000931445
3,8.74355,0.85827,1.9482,1.12221,0.61875,0.64966,0.71564,0.38239,0.94217,2.08515,1.2916,0.00138903,0.00138903,0.00138903
4,11.1248,0.8886,1.68504,1.14232,0.35688,0.56452,0.51822,0.31148,1.49737,2.01818,2.04861,0.00138656,0.00138656,0.00138656
5,13.56,0.81954,1.44415,1.10493,0.42375,0.43333,0.22624,0.13099,1.13878,2.89527,1.34998,0.00137241,0.00137241,0.00137241
6,16.0208,0.80975,1.26224,1.08235,0.74249,0.92234,0.98344,0.86857,0.48518,1.27519,0.86492,0.00135826,0.00135826,0.00135826
7,18.4698,0.77785,1.08888,1.05128,0.85349,0.78839,0.93644,0.83605,0.54304,0.96919,0.89188,0.00134412,0.00134412,0.00134412
8,20.8909,0.7859,1.03805,1.07585,0.96335,0.99271,0.9831,0.88918,0.41165,0.55,0.83315,0.00132997,0.00132997,0.00132997
9,23.3418,0.77409,1.02507,1.06858,0.96921,0.9194,0.98841,0.86794,0.51013,0.58386,0.87877,0.00131582,0.00131582,0.00131582
10,25.7725,0.75044,0.94526,1.05899,0.95003,0.98605,0.99341,0.8664,0.60016,0.56641,0.9139,0.00130168,0.00130168,0.00130168
11,28.1844,0.70942,0.93212,1.02528,0.71216,0.78743,0.94661,0.76373,0.64834,1.21996,0.96128,0.00128753,0.00128753,0.00128753
12,30.5601,0.70673,0.83964,1.04824,0.97747,0.99757,0.99421,0.91942,0.40279,0.41533,0.83342,0.00127338,0.00127338,0.00127338
13,32.9859,0.68999,0.81274,1.02126,0.86773,0.88355,0.96208,0.80468,0.52816,0.68091,0.90515,0.00125923,0.00125923,0.00125923
14,35.3535,0.7085,0.79436,1.04569,0.84012,0.88701,0.9681,0.88848,0.38835,0.59907,0.82434,0.00124509,0.00124509,0.00124509
15,37.7086,0.70012,0.78859,1.02999,0.91422,0.90198,0.95509,0.8897,0.37156,0.52505,0.82869,0.00123094,0.00123094,0.00123094
16,40.1088,0.696,0.80867,1.03396,0.95857,0.98333,0.99063,0.92355,0.37069,0.3829,0.81849,0.00121679,0.00121679,0.00121679
17,42.5147,0.7114,0.7495,1.03561,0.98661,0.95185,0.99421,0.92022,0.42106,0.39234,0.83404,0.00120265,0.00120265,0.00120265
18,44.8969,0.6746,0.75384,1.02419,0.99284,1,0.995,0.93375,0.39739,0.33218,0.83044,0.0011885,0.0011885,0.0011885
19,47.3032,0.66923,0.7232,1.02012,0.97789,0.94466,0.98275,0.93196,0.34784,0.37106,0.81954,0.00117435,0.00117435,0.00117435
20,49.7096,0.64848,0.663,1.00464,0.94494,0.91737,0.99186,0.93845,0.38584,0.4278,0.81962,0.00116021,0.00116021,0.00116021
21,52.0823,0.64694,0.67326,1.00426,0.99371,1,0.995,0.93909,0.38428,0.30748,0.82294,0.00114606,0.00114606,0.00114606
22,54.5196,0.70494,0.68889,1.04261,0.97919,0.98551,0.99421,0.93816,0.37551,0.33053,0.81655,0.00113191,0.00113191,0.00113191
23,56.8883,0.69385,0.71408,1.02623,0.94423,0.9279,0.97939,0.85063,0.49684,0.64216,0.89323,0.00111776,0.00111776,0.00111776
24,59.276,0.64377,0.6375,0.9895,0.99497,1,0.995,0.92444,0.38442,0.3036,0.82343,0.00110362,0.00110362,0.00110362
25,61.6858,0.6385,0.66935,1.01363,0.99311,0.99022,0.995,0.93762,0.345,0.30277,0.81185,0.00108947,0.00108947,0.00108947
26,64.0789,0.61401,0.61145,0.99963,0.97024,0.98379,0.99103,0.92772,0.36054,0.34809,0.81839,0.00107532,0.00107532,0.00107532
27,66.4573,0.6516,0.65583,1.00577,0.99443,0.99852,0.995,0.95249,0.33214,0.28302,0.80533,0.00106118,0.00106118,0.00106118
28,68.8826,0.60285,0.60597,0.98917,0.9967,1,0.995,0.96265,0.31821,0.25366,0.80527,0.00104703,0.00104703,0.00104703
29,71.2392,0.62983,0.61738,1.00017,0.99393,1,0.995,0.92793,0.37809,0.29082,0.82083,0.00103288,0.00103288,0.00103288
30,73.5902,0.61452,0.6108,0.99076,0.99496,1,0.995,0.94871,0.3332,0.26016,0.81136,0.00101873,0.00101873,0.00101873
31,75.9896,0.62414,0.61416,0.99992,0.97841,0.98333,0.98965,0.94523,0.34257,0.33324,0.81357,0.00100459,0.00100459,0.00100459
32,78.3409,0.61307,0.57408,0.98423,0.98175,0.9846,0.99341,0.94705,0.34691,0.27547,0.80951,0.00099044,0.00099044,0.00099044
33,80.7438,0.63991,0.6119,1.00887,0.9867,1,0.995,0.94338,0.32597,0.26312,0.80492,0.000976293,0.000976293,0.000976293
34,83.1388,0.60137,0.5751,0.99179,0.99096,1,0.995,0.94068,0.33682,0.26131,0.80555,0.000962146,0.000962146,0.000962146
35,85.5474,0.59082,0.59937,0.99401,0.99467,1,0.995,0.95841,0.31455,0.25517,0.80486,0.000947999,0.000947999,0.000947999
36,87.9467,0.60556,0.58674,0.98933,0.98419,0.98353,0.995,0.95833,0.31264,0.25211,0.79978,0.000933851,0.000933851,0.000933851
37,90.3538,0.59401,0.58135,0.98464,0.98663,0.98333,0.99421,0.95066,0.31165,0.26782,0.80127,0.000919704,0.000919704,0.000919704
38,92.7508,0.62685,0.59781,1.00521,0.99513,1,0.995,0.93789,0.37477,0.23965,0.81659,0.000905557,0.000905557,0.000905557
39,95.1639,0.60325,0.58632,1.00099,0.98035,0.9859,0.99341,0.94867,0.31481,0.25716,0.80555,0.00089141,0.00089141,0.00089141
40,97.5769,0.58443,0.56766,0.98363,0.96801,0.98462,0.995,0.95241,0.32615,0.25702,0.80263,0.000877263,0.000877263,0.000877263
41,99.9832,0.57114,0.54532,0.97488,0.99168,0.99863,0.995,0.9604,0.31337,0.22847,0.80408,0.000863116,0.000863116,0.000863116
42,102.333,0.57548,0.54753,0.97898,0.99112,0.9981,0.995,0.96476,0.31293,0.21636,0.8026,0.000848969,0.000848969,0.000848969
43,104.725,0.585,0.53482,0.97917,0.99377,1,0.995,0.95957,0.30703,0.22438,0.80458,0.000834822,0.000834822,0.000834822
44,107.136,0.58751,0.55213,0.98482,0.9961,1,0.995,0.96058,0.29191,0.21792,0.7985,0.000820675,0.000820675,0.000820675
45,109.492,0.57014,0.51856,0.97706,0.99636,1,0.995,0.951,0.31675,0.2303,0.81008,0.000806528,0.000806528,0.000806528
46,111.884,0.55965,0.52601,0.97516,0.96863,0.99985,0.995,0.96307,0.28155,0.2307,0.79731,0.00079238,0.00079238,0.00079238
47,114.28,0.56342,0.52401,0.98186,0.99629,1,0.995,0.96881,0.29792,0.20157,0.7967,0.000778233,0.000778233,0.000778233
48,116.692,0.5556,0.52215,0.96525,0.99691,1,0.995,0.96803,0.29325,0.19614,0.79447,0.000764086,0.000764086,0.000764086
49,119.077,0.56344,0.52991,0.98084,0.98154,1,0.995,0.9631,0.297,0.22656,0.79818,0.000749939,0.000749939,0.000749939
50,121.478,0.56283,0.53418,0.98981,0.99716,1,0.995,0.95011,0.30145,0.21432,0.80355,0.000735792,0.000735792,0.000735792
51,123.865,0.5509,0.52115,0.95418,0.97955,0.97235,0.99103,0.96025,0.30393,0.26464,0.80412,0.000721645,0.000721645,0.000721645
52,126.259,0.57845,0.53428,0.98001,0.99664,1,0.995,0.96839,0.29694,0.20144,0.79906,0.000707498,0.000707498,0.000707498
53,128.67,0.54625,0.52173,0.97111,0.99613,1,0.995,0.96291,0.29728,0.21058,0.79856,0.000693351,0.000693351,0.000693351
54,131.059,0.54772,0.52584,0.95958,0.99687,1,0.995,0.95303,0.29855,0.20438,0.79726,0.000679204,0.000679204,0.000679204
55,133.418,0.54493,0.51914,0.96201,0.98956,0.96974,0.995,0.94549,0.31786,0.24799,0.80504,0.000665057,0.000665057,0.000665057
56,135.757,0.54453,0.49032,0.9655,0.99362,1,0.995,0.95888,0.30351,0.21479,0.80202,0.000650909,0.000650909,0.000650909
